rq,table_name,row_id,column_name,paper_value,artifact_value,match
RQ3,results-arepair-faulty-alloy-2-alloy,arr-NoConflict,original/Cor,NA,NA,true
RQ3,results-arepair-faulty-alloy-2-alloy,arr-NoConflict,original/Syn,NA,NA,true
RQ3,results-arepair-faulty-alloy-2-alloy,arr-NoConflict,original/Sem,NA,NA,true
RQ3,results-arepair-faulty-alloy-2-alloy,arr-NoConflict,pro/LLM_Cor,NA,NA,true
RQ3,results-arepair-faulty-alloy-2-alloy,arr-NoConflict,pro/LLM_Syn,NA,NA,true
RQ3,results-arepair-faulty-alloy-2-alloy,arr-NoConflict,pro/LLM_Sem,NA,NA,true
RQ3,results-arepair-faulty-alloy-2-alloy,arr-NoConflict,pro/OrigRep,NA,NA,true
RQ3,results-arepair-faulty-alloy-2-alloy,arr-NoConflict,pro/LLMRep,NA,NA,true
RQ3,results-arepair-faulty-alloy-2-alloy,arr-NoConflict,flash/LLM_Cor,NA,NA,true
RQ3,results-arepair-faulty-alloy-2-alloy,arr-NoConflict,flash/LLM_Syn,NA,NA,true
RQ3,results-arepair-faulty-alloy-2-alloy,arr-NoConflict,flash/LLM_Sem,NA,NA,true
RQ3,results-arepair-faulty-alloy-2-alloy,arr-NoConflict,flash/OrigRep,NA,NA,true
RQ3,results-arepair-faulty-alloy-2-alloy,arr-NoConflict,flash/LLMRep,NA,NA,true
RQ3,results-arepair-faulty-alloy-2-alloy,arr-NoConflict,lite/LLM_Cor,NA,NA,true
RQ3,results-arepair-faulty-alloy-2-alloy,arr-NoConflict,lite/LLM_Syn,NA,NA,true
RQ3,results-arepair-faulty-alloy-2-alloy,arr-NoConflict,lite/LLM_Sem,NA,NA,true
RQ3,results-arepair-faulty-alloy-2-alloy,arr-NoConflict,lite/OrigRep,NA,NA,true
RQ3,results-arepair-faulty-alloy-2-alloy,arr-NoConflict,lite/LLMRep,NA,NA,true
RQ3,results-arepair-faulty-alloy-2-alloy,balancedBST-Balanced,original/Cor,0,0,true
RQ3,results-arepair-faulty-alloy-2-alloy,balancedBST-Balanced,original/Syn,0,0,true
RQ3,results-arepair-faulty-alloy-2-alloy,balancedBST-Balanced,original/Sem,1,1,true
RQ3,results-arepair-faulty-alloy-2-alloy,balancedBST-Balanced,pro/LLM_Cor,0,0,true
RQ3,results-arepair-faulty-alloy-2-alloy,balancedBST-Balanced,pro/LLM_Syn,0,0,true
RQ3,results-arepair-faulty-alloy-2-alloy,balancedBST-Balanced,pro/LLM_Sem,10,10,true
RQ3,results-arepair-faulty-alloy-2-alloy,balancedBST-Balanced,pro/OrigRep,0/1,0/1,true
RQ3,results-arepair-faulty-alloy-2-alloy,balancedBST-Balanced,pro/LLMRep,0/10,0/10,true
RQ3,results-arepair-faulty-alloy-2-alloy,balancedBST-Balanced,flash/LLM_Cor,0,0,true
RQ3,results-arepair-faulty-alloy-2-alloy,balancedBST-Balanced,flash/LLM_Syn,0,0,true
RQ3,results-arepair-faulty-alloy-2-alloy,balancedBST-Balanced,flash/LLM_Sem,10,10,true
RQ3,results-arepair-faulty-alloy-2-alloy,balancedBST-Balanced,flash/OrigRep,0/1,0/1,true
RQ3,results-arepair-faulty-alloy-2-alloy,balancedBST-Balanced,flash/LLMRep,0/10,0/10,true
RQ3,results-arepair-faulty-alloy-2-alloy,balancedBST-Balanced,lite/LLM_Cor,0,0,true
RQ3,results-arepair-faulty-alloy-2-alloy,balancedBST-Balanced,lite/LLM_Syn,5,5,true
RQ3,results-arepair-faulty-alloy-2-alloy,balancedBST-Balanced,lite/LLM_Sem,5,5,true
RQ3,results-arepair-faulty-alloy-2-alloy,balancedBST-Balanced,lite/OrigRep,0/1,0/1,true
RQ3,results-arepair-faulty-alloy-2-alloy,balancedBST-Balanced,lite/LLMRep,0/5,0/5,true
RQ3,results-arepair-faulty-alloy-2-alloy,balancedBST-HasAtMostOneChild,original/Cor,NA,NA,true
RQ3,results-arepair-faulty-alloy-2-alloy,balancedBST-HasAtMostOneChild,original/Syn,NA,NA,true
RQ3,results-arepair-faulty-alloy-2-alloy,balancedBST-HasAtMostOneChild,original/Sem,NA,NA,true
RQ3,results-arepair-faulty-alloy-2-alloy,balancedBST-HasAtMostOneChild,pro/LLM_Cor,NA,NA,true
RQ3,results-arepair-faulty-alloy-2-alloy,balancedBST-HasAtMostOneChild,pro/LLM_Syn,NA,NA,true
RQ3,results-arepair-faulty-alloy-2-alloy,balancedBST-HasAtMostOneChild,pro/LLM_Sem,NA,NA,true
RQ3,results-arepair-faulty-alloy-2-alloy,balancedBST-HasAtMostOneChild,pro/OrigRep,NA,NA,true
RQ3,results-arepair-faulty-alloy-2-alloy,balancedBST-HasAtMostOneChild,pro/LLMRep,NA,NA,true
RQ3,results-arepair-faulty-alloy-2-alloy,balancedBST-HasAtMostOneChild,flash/LLM_Cor,NA,NA,true
RQ3,results-arepair-faulty-alloy-2-alloy,balancedBST-HasAtMostOneChild,flash/LLM_Syn,NA,NA,true
RQ3,results-arepair-faulty-alloy-2-alloy,balancedBST-HasAtMostOneChild,flash/LLM_Sem,NA,NA,true
RQ3,results-arepair-faulty-alloy-2-alloy,balancedBST-HasAtMostOneChild,flash/OrigRep,NA,NA,true
RQ3,results-arepair-faulty-alloy-2-alloy,balancedBST-HasAtMostOneChild,flash/LLMRep,NA,NA,true
RQ3,results-arepair-faulty-alloy-2-alloy,balancedBST-HasAtMostOneChild,lite/LLM_Cor,NA,NA,true
RQ3,results-arepair-faulty-alloy-2-alloy,balancedBST-HasAtMostOneChild,lite/LLM_Syn,NA,NA,true
RQ3,results-arepair-faulty-alloy-2-alloy,balancedBST-HasAtMostOneChild,lite/LLM_Sem,NA,NA,true
RQ3,results-arepair-faulty-alloy-2-alloy,balancedBST-HasAtMostOneChild,lite/OrigRep,NA,NA,true
RQ3,results-arepair-faulty-alloy-2-alloy,balancedBST-HasAtMostOneChild,lite/LLMRep,NA,NA,true
RQ3,results-arepair-faulty-alloy-2-alloy,balancedBST-Sorted,original/Cor,0,0,true
RQ3,results-arepair-faulty-alloy-2-alloy,balancedBST-Sorted,original/Syn,0,0,true
RQ3,results-arepair-faulty-alloy-2-alloy,balancedBST-Sorted,original/Sem,1,1,true
RQ3,results-arepair-faulty-alloy-2-alloy,balancedBST-Sorted,pro/LLM_Cor,0,0,true
RQ3,results-arepair-faulty-alloy-2-alloy,balancedBST-Sorted,pro/LLM_Syn,0,0,true
RQ3,results-arepair-faulty-alloy-2-alloy,balancedBST-Sorted,pro/LLM_Sem,10,10,true
RQ3,results-arepair-faulty-alloy-2-alloy,balancedBST-Sorted,pro/OrigRep,0/1,0/1,true
RQ3,results-arepair-faulty-alloy-2-alloy,balancedBST-Sorted,pro/LLMRep,0/10,0/10,true
RQ3,results-arepair-faulty-alloy-2-alloy,balancedBST-Sorted,flash/LLM_Cor,0,0,true
RQ3,results-arepair-faulty-alloy-2-alloy,balancedBST-Sorted,flash/LLM_Syn,0,0,true
RQ3,results-arepair-faulty-alloy-2-alloy,balancedBST-Sorted,flash/LLM_Sem,10,10,true
RQ3,results-arepair-faulty-alloy-2-alloy,balancedBST-Sorted,flash/OrigRep,0/1,0/1,true
RQ3,results-arepair-faulty-alloy-2-alloy,balancedBST-Sorted,flash/LLMRep,0/10,0/10,true
RQ3,results-arepair-faulty-alloy-2-alloy,balancedBST-Sorted,lite/LLM_Cor,0,0,true
RQ3,results-arepair-faulty-alloy-2-alloy,balancedBST-Sorted,lite/LLM_Syn,0,0,true
RQ3,results-arepair-faulty-alloy-2-alloy,balancedBST-Sorted,lite/LLM_Sem,10,10,true
RQ3,results-arepair-faulty-alloy-2-alloy,balancedBST-Sorted,lite/OrigRep,0/1,0/1,true
RQ3,results-arepair-faulty-alloy-2-alloy,balancedBST-Sorted,lite/LLMRep,0/10,0/10,true
RQ3,results-arepair-faulty-alloy-2-alloy,bempl-CanEnter,original/Cor,NA,NA,true
RQ3,results-arepair-faulty-alloy-2-alloy,bempl-CanEnter,original/Syn,NA,NA,true
RQ3,results-arepair-faulty-alloy-2-alloy,bempl-CanEnter,original/Sem,NA,NA,true
RQ3,results-arepair-faulty-alloy-2-alloy,bempl-CanEnter,pro/LLM_Cor,NA,NA,true
RQ3,results-arepair-faulty-alloy-2-alloy,bempl-CanEnter,pro/LLM_Syn,NA,NA,true
RQ3,results-arepair-faulty-alloy-2-alloy,bempl-CanEnter,pro/LLM_Sem,NA,NA,true
RQ3,results-arepair-faulty-alloy-2-alloy,bempl-CanEnter,pro/OrigRep,NA,NA,true
RQ3,results-arepair-faulty-alloy-2-alloy,bempl-CanEnter,pro/LLMRep,NA,NA,true
RQ3,results-arepair-faulty-alloy-2-alloy,bempl-CanEnter,flash/LLM_Cor,NA,NA,true
RQ3,results-arepair-faulty-alloy-2-alloy,bempl-CanEnter,flash/LLM_Syn,NA,NA,true
RQ3,results-arepair-faulty-alloy-2-alloy,bempl-CanEnter,flash/LLM_Sem,NA,NA,true
RQ3,results-arepair-faulty-alloy-2-alloy,bempl-CanEnter,flash/OrigRep,NA,NA,true
RQ3,results-arepair-faulty-alloy-2-alloy,bempl-CanEnter,flash/LLMRep,NA,NA,true
RQ3,results-arepair-faulty-alloy-2-alloy,bempl-CanEnter,lite/LLM_Cor,NA,NA,true
RQ3,results-arepair-faulty-alloy-2-alloy,bempl-CanEnter,lite/LLM_Syn,NA,NA,true
RQ3,results-arepair-faulty-alloy-2-alloy,bempl-CanEnter,lite/LLM_Sem,NA,NA,true
RQ3,results-arepair-faulty-alloy-2-alloy,bempl-CanEnter,lite/OrigRep,NA,NA,true
RQ3,results-arepair-faulty-alloy-2-alloy,bempl-CanEnter,lite/LLMRep,NA,NA,true
RQ3,results-arepair-faulty-alloy-2-alloy,cd-Acyclic,original/Cor,0,0,true
RQ3,results-arepair-faulty-alloy-2-alloy,cd-Acyclic,original/Syn,0,0,true
RQ3,results-arepair-faulty-alloy-2-alloy,cd-Acyclic,original/Sem,1,1,true
RQ3,results-arepair-faulty-alloy-2-alloy,cd-Acyclic,pro/LLM_Cor,0,0,true
RQ3,results-arepair-faulty-alloy-2-alloy,cd-Acyclic,pro/LLM_Syn,0,0,true
RQ3,results-arepair-faulty-alloy-2-alloy,cd-Acyclic,pro/LLM_Sem,10,10,true
RQ3,results-arepair-faulty-alloy-2-alloy,cd-Acyclic,pro/OrigRep,0/1,0/1,true
RQ3,results-arepair-faulty-alloy-2-alloy,cd-Acyclic,pro/LLMRep,7/10,7/10,true
RQ3,results-arepair-faulty-alloy-2-alloy,cd-Acyclic,flash/LLM_Cor,0,0,true
RQ3,results-arepair-faulty-alloy-2-alloy,cd-Acyclic,flash/LLM_Syn,1,1,true
RQ3,results-arepair-faulty-alloy-2-alloy,cd-Acyclic,flash/LLM_Sem,9,9,true
RQ3,results-arepair-faulty-alloy-2-alloy,cd-Acyclic,flash/OrigRep,0/1,0/1,true
RQ3,results-arepair-faulty-alloy-2-alloy,cd-Acyclic,flash/LLMRep,3/9,3/9,true
RQ3,results-arepair-faulty-alloy-2-alloy,cd-Acyclic,lite/LLM_Cor,0,0,true
RQ3,results-arepair-faulty-alloy-2-alloy,cd-Acyclic,lite/LLM_Syn,1,1,true
RQ3,results-arepair-faulty-alloy-2-alloy,cd-Acyclic,lite/LLM_Sem,9,9,true
RQ3,results-arepair-faulty-alloy-2-alloy,cd-Acyclic,lite/OrigRep,0/1,0/1,true
RQ3,results-arepair-faulty-alloy-2-alloy,cd-Acyclic,lite/LLMRep,3/9,3/9,true
RQ3,results-arepair-faulty-alloy-2-alloy,cd-AllExtObject,original/Cor,0,0,true
RQ3,results-arepair-faulty-alloy-2-alloy,cd-AllExtObject,original/Syn,0,0,true
RQ3,results-arepair-faulty-alloy-2-alloy,cd-AllExtObject,original/Sem,1,1,true
RQ3,results-arepair-faulty-alloy-2-alloy,cd-AllExtObject,pro/LLM_Cor,0,0,true
RQ3,results-arepair-faulty-alloy-2-alloy,cd-AllExtObject,pro/LLM_Syn,0,0,true
RQ3,results-arepair-faulty-alloy-2-alloy,cd-AllExtObject,pro/LLM_Sem,10,10,true
RQ3,results-arepair-faulty-alloy-2-alloy,cd-AllExtObject,pro/OrigRep,1/1,1/1,true
RQ3,results-arepair-faulty-alloy-2-alloy,cd-AllExtObject,pro/LLMRep,10/10,10/10,true
RQ3,results-arepair-faulty-alloy-2-alloy,cd-AllExtObject,flash/LLM_Cor,0,0,true
RQ3,results-arepair-faulty-alloy-2-alloy,cd-AllExtObject,flash/LLM_Syn,0,0,true
RQ3,results-arepair-faulty-alloy-2-alloy,cd-AllExtObject,flash/LLM_Sem,10,10,true
RQ3,results-arepair-faulty-alloy-2-alloy,cd-AllExtObject,flash/OrigRep,1/1,1/1,true
RQ3,results-arepair-faulty-alloy-2-alloy,cd-AllExtObject,flash/LLMRep,9/10,9/10,true
RQ3,results-arepair-faulty-alloy-2-alloy,cd-AllExtObject,lite/LLM_Cor,0,0,true
RQ3,results-arepair-faulty-alloy-2-alloy,cd-AllExtObject,lite/LLM_Syn,1,1,true
RQ3,results-arepair-faulty-alloy-2-alloy,cd-AllExtObject,lite/LLM_Sem,9,9,true
RQ3,results-arepair-faulty-alloy-2-alloy,cd-AllExtObject,lite/OrigRep,1/1,1/1,true
RQ3,results-arepair-faulty-alloy-2-alloy,cd-AllExtObject,lite/LLMRep,8/9,8/9,true
RQ3,results-arepair-faulty-alloy-2-alloy,cd-ClassHierarchy,original/Cor,NA,NA,true
RQ3,results-arepair-faulty-alloy-2-alloy,cd-ClassHierarchy,original/Syn,NA,NA,true
RQ3,results-arepair-faulty-alloy-2-alloy,cd-ClassHierarchy,original/Sem,NA,NA,true
RQ3,results-arepair-faulty-alloy-2-alloy,cd-ClassHierarchy,pro/LLM_Cor,NA,NA,true
RQ3,results-arepair-faulty-alloy-2-alloy,cd-ClassHierarchy,pro/LLM_Syn,NA,NA,true
RQ3,results-arepair-faulty-alloy-2-alloy,cd-ClassHierarchy,pro/LLM_Sem,NA,NA,true
RQ3,results-arepair-faulty-alloy-2-alloy,cd-ClassHierarchy,pro/OrigRep,NA,NA,true
RQ3,results-arepair-faulty-alloy-2-alloy,cd-ClassHierarchy,pro/LLMRep,NA,NA,true
RQ3,results-arepair-faulty-alloy-2-alloy,cd-ClassHierarchy,flash/LLM_Cor,NA,NA,true
RQ3,results-arepair-faulty-alloy-2-alloy,cd-ClassHierarchy,flash/LLM_Syn,NA,NA,true
RQ3,results-arepair-faulty-alloy-2-alloy,cd-ClassHierarchy,flash/LLM_Sem,NA,NA,true
RQ3,results-arepair-faulty-alloy-2-alloy,cd-ClassHierarchy,flash/OrigRep,NA,NA,true
RQ3,results-arepair-faulty-alloy-2-alloy,cd-ClassHierarchy,flash/LLMRep,NA,NA,true
RQ3,results-arepair-faulty-alloy-2-alloy,cd-ClassHierarchy,lite/LLM_Cor,NA,NA,true
RQ3,results-arepair-faulty-alloy-2-alloy,cd-ClassHierarchy,lite/LLM_Syn,NA,NA,true
RQ3,results-arepair-faulty-alloy-2-alloy,cd-ClassHierarchy,lite/LLM_Sem,NA,NA,true
RQ3,results-arepair-faulty-alloy-2-alloy,cd-ClassHierarchy,lite/OrigRep,NA,NA,true
RQ3,results-arepair-faulty-alloy-2-alloy,cd-ClassHierarchy,lite/LLMRep,NA,NA,true
RQ3,results-arepair-faulty-alloy-2-alloy,cd-ObjectNoExt,original/Cor,0,0,true
RQ3,results-arepair-faulty-alloy-2-alloy,cd-ObjectNoExt,original/Syn,0,0,true
RQ3,results-arepair-faulty-alloy-2-alloy,cd-ObjectNoExt,original/Sem,1,1,true
RQ3,results-arepair-faulty-alloy-2-alloy,cd-ObjectNoExt,pro/LLM_Cor,0,0,true
RQ3,results-arepair-faulty-alloy-2-alloy,cd-ObjectNoExt,pro/LLM_Syn,0,0,true
RQ3,results-arepair-faulty-alloy-2-alloy,cd-ObjectNoExt,pro/LLM_Sem,10,10,true
RQ3,results-arepair-faulty-alloy-2-alloy,cd-ObjectNoExt,pro/OrigRep,1/1,1/1,true
RQ3,results-arepair-faulty-alloy-2-alloy,cd-ObjectNoExt,pro/LLMRep,10/10,10/10,true
RQ3,results-arepair-faulty-alloy-2-alloy,cd-ObjectNoExt,flash/LLM_Cor,0,0,true
RQ3,results-arepair-faulty-alloy-2-alloy,cd-ObjectNoExt,flash/LLM_Syn,0,0,true
RQ3,results-arepair-faulty-alloy-2-alloy,cd-ObjectNoExt,flash/LLM_Sem,10,10,true
RQ3,results-arepair-faulty-alloy-2-alloy,cd-ObjectNoExt,flash/OrigRep,1/1,1/1,true
RQ3,results-arepair-faulty-alloy-2-alloy,cd-ObjectNoExt,flash/LLMRep,9/10,9/10,true
RQ3,results-arepair-faulty-alloy-2-alloy,cd-ObjectNoExt,lite/LLM_Cor,0,0,true
RQ3,results-arepair-faulty-alloy-2-alloy,cd-ObjectNoExt,lite/LLM_Syn,1,1,true
RQ3,results-arepair-faulty-alloy-2-alloy,cd-ObjectNoExt,lite/LLM_Sem,9,9,true
RQ3,results-arepair-faulty-alloy-2-alloy,cd-ObjectNoExt,lite/OrigRep,1/1,1/1,true
RQ3,results-arepair-faulty-alloy-2-alloy,cd-ObjectNoExt,lite/LLMRep,9/9,9/9,true
RQ3,results-arepair-faulty-alloy-2-alloy,dll-ConsistentPreAndNxt,original/Cor,0,0,true
RQ3,results-arepair-faulty-alloy-2-alloy,dll-ConsistentPreAndNxt,original/Syn,0,0,true
RQ3,results-arepair-faulty-alloy-2-alloy,dll-ConsistentPreAndNxt,original/Sem,1,1,true
RQ3,results-arepair-faulty-alloy-2-alloy,dll-ConsistentPreAndNxt,pro/LLM_Cor,0,0,true
RQ3,results-arepair-faulty-alloy-2-alloy,dll-ConsistentPreAndNxt,pro/LLM_Syn,0,0,true
RQ3,results-arepair-faulty-alloy-2-alloy,dll-ConsistentPreAndNxt,pro/LLM_Sem,10,10,true
RQ3,results-arepair-faulty-alloy-2-alloy,dll-ConsistentPreAndNxt,pro/OrigRep,1/1,1/1,true
RQ3,results-arepair-faulty-alloy-2-alloy,dll-ConsistentPreAndNxt,pro/LLMRep,10/10,10/10,true
RQ3,results-arepair-faulty-alloy-2-alloy,dll-ConsistentPreAndNxt,flash/LLM_Cor,0,0,true
RQ3,results-arepair-faulty-alloy-2-alloy,dll-ConsistentPreAndNxt,flash/LLM_Syn,0,0,true
RQ3,results-arepair-faulty-alloy-2-alloy,dll-ConsistentPreAndNxt,flash/LLM_Sem,10,10,true
RQ3,results-arepair-faulty-alloy-2-alloy,dll-ConsistentPreAndNxt,flash/OrigRep,1/1,1/1,true
RQ3,results-arepair-faulty-alloy-2-alloy,dll-ConsistentPreAndNxt,flash/LLMRep,10/10,10/10,true
RQ3,results-arepair-faulty-alloy-2-alloy,dll-ConsistentPreAndNxt,lite/LLM_Cor,0,0,true
RQ3,results-arepair-faulty-alloy-2-alloy,dll-ConsistentPreAndNxt,lite/LLM_Syn,0,0,true
RQ3,results-arepair-faulty-alloy-2-alloy,dll-ConsistentPreAndNxt,lite/LLM_Sem,10,10,true
RQ3,results-arepair-faulty-alloy-2-alloy,dll-ConsistentPreAndNxt,lite/OrigRep,1/1,1/1,true
RQ3,results-arepair-faulty-alloy-2-alloy,dll-ConsistentPreAndNxt,lite/LLMRep,8/10,8/10,true
RQ3,results-arepair-faulty-alloy-2-alloy,dll-Sorted,original/Cor,0,0,true
RQ3,results-arepair-faulty-alloy-2-alloy,dll-Sorted,original/Syn,0,0,true
RQ3,results-arepair-faulty-alloy-2-alloy,dll-Sorted,original/Sem,1,1,true
RQ3,results-arepair-faulty-alloy-2-alloy,dll-Sorted,pro/LLM_Cor,0,0,true
RQ3,results-arepair-faulty-alloy-2-alloy,dll-Sorted,pro/LLM_Syn,0,0,true
